Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
Jülich,AS Düren (A 4),VB,http://bvwp-projekte.de/strasse/B56-G10-NW/B56-G10-NW.html,strasse,123,0.699,86,20,17,73,44,6
AS Hardtberg (A 565),Bonn (B 9),WB*,http://bvwp-projekte.de/strasse/B56-G40-NW-T1-NW/B56-G40-NW-T1-NW.html,strasse,414,0.667,276,130,8,266,80,68
Bonn/O (A 59),Birlinghoven/Dambroich,WB*,http://bvwp-projekte.de/strasse/B56-G40-NW-T2-NW/B56-G40-NW-T2-NW.html,strasse,364,0.538,196,158,10,203,89,72
Hann.-Stöcken (K 321),Stöck,WB*,http://bvwp-projekte.de/strasse/B6-G20-NI/B6-G20-NI.html,strasse,139,0.878,122,16,1,111,26,2
Verlegung in Dresden-Cossebaude,,VB,http://bvwp-projekte.de/strasse/B6-G20-SN/B6-G20-SN.html,strasse,349,0.865,302,31,16,201,129,19
Rheda-Wiedenbrück (A 2),Gütersloh,VB,http://bvwp-projekte.de/strasse/B61-G10-NW-T1-NW/B61-G10-NW-T1-NW.html,strasse,100,0.82,82,13,5,80,18,2
Gütersloh,Bielefeld/Ummeln,VB,http://bvwp-projekte.de/strasse/B61-G10-NW-T2-NW/B61-G10-NW-T2-NW.html,strasse,134,0.821,110,17,7,104,26,4
Münster (B 481),ö Münster/Handorf,VB,http://bvwp-projekte.de/strasse/B64_B51-G10-NW-T1-NW/B64_B51-G10-NW-T1-NW.html,strasse,155,0.806,125,27,3,104,48,3
OU Warendorf,,VB,http://bvwp-projekte.de/strasse/B64_B51-G10-NW-T3-NW/B64_B51-G10-NW-T3-NW.html,strasse,142,0.648,92,48,2,91,39,12
Hannover (Riklinger Kreisel),AS Hannover-Anderten,WB,http://bvwp-projekte.de/strasse/B65-G40-NI-T4-NI/B65-G40-NI-T4-NI.html,strasse,350,0.871,305,36,9,272,73,5
ö Sehnde,w Peine,VB,http://bvwp-projekte.de/strasse/B65-G60-NI/B65-G60-NI.html,strasse,259,0.714,185,48,26,149,90,20
Bielefeld,,VB,http://bvwp-projekte.de/strasse/B66-G40-NW/B66-G40-NW.html,strasse,273,0.498,136,121,16,134,79,60
Reken,Dülmen,VB,http://bvwp-projekte.de/strasse/B67_B474-G20-NW-T1-NW/B67_B474-G20-NW-T1-NW.html,strasse,155,0.858,133,13,9,110,35,10
