FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2512AHH018;MII6;BVA;IIA5;Direkte Projektförderung;PC-Ausstattung Lenau-Haus in Pecs;31.10.2012;31.12.2012;3137 ;3137 ;Ungarn;
2512AHH019;MII6;BVA;IIA5;Direkte Projektförderung;"2 Fahrzeuge ""EaR""";13.11.2012;31.12.2012;36807 ;36807 ;Ungarn;
2512AHH200;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen Deutsche Minderheit Tschechien an LV;01.01.2012;31.12.2012;322500 ;322500 ;Tschechien;
2512AHH238;MII6;BVA;IIA5;Direkte Projektförderung;Wirtschaftshilfen BOHEMIA Troppau;01.01.2012;31.12.2012;65920 ;65920 ;Tschechien;
2512AHH239;MII6;BVA;IIA5;Direkte Projektförderung;Einzelfallhilfen für die DMI in CZE (50€-Hilfen) im HHJ 2012 - Ackermann-Gemeinde;01.06.2012;31.12.2012;42000 ;42000 ;Tschechien;
2512AHH240;MII6;BVA;IIA5;Direkte Projektförderung;Einzelfallhilfen für die DMI in CZE (50€-Hilfen) im HHJ 2012 - Seliger-Gemeinde;01.05.2012;31.12.2012;7000 ;7000 ;Tschechien;
2512AHH241;MII6;BVA;IIA5;Direkte Projektförderung;Teilnahme am 63. Sudetendeutschen Tag;01.04.2012;30.06.2012;5000 ;5000 ;Tschechien;
2512AHH242;MII6;BVA;IIA5;Direkte Projektförderung;Seminar zur Weiterentwicklung der Jugendarbeit JUKON 2012;01.10.2012;31.12.2012;5935 ;5935 ;Tschechien;
2512AHH400;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen Deutsche Minderheit Slowakei an KDV;01.01.2012;31.12.2012;140500 ;140500 ;Slowakei;
2512AHH419;MII6;BVA;IIA5;Direkte Projektförderung;Wirtschaftshilfen KDA;01.01.2012;31.12.2012;130000 ;130000 ;Slowakei;
2512AHH500;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfsmaßnahmen für die DMI in der Tschechischen Republik Haushaltsjahr 2012 Erwerb einer Büroimmobilie; siehe 2512AHH600";29.08.2012;31.12.2012;0 ;0 ;Tschechien;
2512AHH600;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in der Tschechischen Republik 2012; Erwerb und Renovierung einer Immobilie für Zwecke der Deutschen Landesversammlung";26.11.2012;31.12.2012;292520 ;292520 ;Tschechien;
2512AHH601;MII6;BVA;IIA5;Direkte Projektförderung;Evaluierungsreise BW-I;10.04.2012;10.05.2012;500 ;500 ;Litauen;
2512AHH602;MII6;BVA;IIA5;Direkte Projektförderung;Chorfest Klaipeda;01.03.2012;31.05.2012;20022 ;20022 ;Litauen;
2512AHH603;MII7;BVA;IIA5;Direkte Projektförderung;Hilfen des BMI für die deutschen Minderheiten in den baltischen Staaten verschiedene Projekte der einzelnen Vereine der DMI im HHJ 2012;10.03.2012;31.12.2012;25992 ;25992 ;Litauen, Lettland, Estland;
2512AHH900;MII6;BVA;IIA5;Direkte Projektförderung;Humanitäre Hilfe für Donauschwaben;30.07.2012;31.12.2012;114626 ;114562 ;Serbien;
2512AHK505;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in Kasachstan u. Zentralasien in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;1120086 ;1120086 ;Kasachstan;
2512AHH901;MII6;BVA;IIA5;Direkte Projektförderung;BS Sombor: Beschaffung technischer Geräte;15.08.2012;31.12.2012;15983 ;14669 ;Serbien;
2512AHH902;MII6;BVA;IIA5;Direkte Projektförderung;Kroatien: Samstagskurse für Kinder im Grundschulalter;22.09.2012;25.05.2013;1077 ;1077 ;Kroatien;
2512AHH905;MII6;BVA;IIA5;Direkte Projektförderung;BS Sombor: Seminar Zuwendungsrecht;29.08.2012;31.12.2012;2305 ;2305 ;Serbien;
2512AHH909;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten;01.01.2012;31.12.2012;895 ;895 ;Kroatien;
2512AHK101;MII7;BVA;IIA5;Direkte Projektförderung;Medizinische Hilfen;01.01.2012;31.12.2012;245000 ;245000 ;Kasachstan;
2512AHK102;MII7;BVA;IIA5;Direkte Projektförderung;Medizinische Hilfen;01.01.2012;31.12.2012;100000 ;100000 ;Kirgisistan;
2512AHK120;MII7;BVA;IIA5;Direkte Projektförderung;Individuelle Gesundheitshilfen im HHJ 2012;01.01.2012;31.12.2012;210501 ;210501 ;GUS;
2512AHK121;MII7;BVA;IIA5;Direkte Projektförderung;"Gemeinschaftsfördernde Hilfsmaßnahmen zugunsten der deutschen Minderheit in Aserbaidschan; Georgien und Turkmenistan";01.01.2012;31.12.2012;10264 ;10264 ;Georgien;
2512AHK122;MII7;BVA;IIA5;Direkte Projektförderung;"Mittagessen in der Diakoniestation Tiflis; Lebensmittelversorgung Abchasien(Trockene Tüten) sowie Paketnothilfe für die Angehörigen der deutschen Minderheit in Georgien";01.01.2012;31.12.2012;17000 ;17000 ;Georgien;
2512AHK503;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in Usbekistan in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;186949 ;186949 ;Usbekistan;
2512AHK504;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in Kirgisistan in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;258654 ;258654 ;Kirgisistan;
2512AHK505;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in Zentralasien in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;1120086 ;1120086 ;Kasachstan;
2512AHP001;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012: Gemeinschaftsfördernde Maßnahmen hier: Projekt ""Archiv der erzählten Geschichte""";09.03.2012;31.12.2012;28035 ;28035 ;Polen;
2512AHP002;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen für die deutsche Minderheit in Polen 2012: Samstagskurse für Kinder;05.03.2012;31.12.2012;55046 ;54383 ;Polen;
2512AHP003;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; 17.Schlesienseminar in Groß Stein vom 03. -07.10.2012 zum Thema ""Bildung; Ausbildung; Lernen - Chancen für Dich; für mich; für Schlesien""";08.08.2012;31.12.2012;32464 ;32464 ;Polen;
2512AHP004;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012;  Gemeinschaftsfördernde Maßnahmen: KInderfreizeiten /Ferienlager unter Einbeziehung von identitäts- und sprachfördernden Elementen und Exkursion des DFK Schlesien";08.06.2012;31.12.2012;154736 ;149802 ;Polen;
2512AHP005;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen für die deutsche Minderheit in Polen 2012: Konsolidierung der Begegnungsstätten;21.02.2012;31.12.2012;297172 ;295726 ;Polen;
2512AHP006;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen für die deutsche Minderheit in Polen 2012: Werbemaßnahmen für eine angewandte Zweisprachigkeit;23.03.2012;31.12.2012;59374 ;58598 ;Polen;
2512AHP007;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012 ; Gemeinschaftliche Aktivitäten: Gemeinschaftsfördernde eintägige Exkursionen für Kinder und Senioren";06.07.2012;31.12.2012;21402 ;21140 ;Polen;
2512AHP008;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Jugendprojekte 2012";09.05.2012;31.12.2012;6785 ;6785 ;Polen;
2512AHP009;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Jugendprojekte ; Wanderlager für Jugendliche";16.07.2012;31.12.2012;7793 ;7793 ;Polen;
2512AHP010;MII6;BVA;IIA5;Direkte Projektförderung;Hilfen für die deutsche Minderheit in Polen 2012: Schulungen zur Stärkung der Strukturen der deutschen Minderheit;09.05.2012;31.12.2012;14455 ;14455 ;Polen;
2512AHP011;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Jugendprojekte ; Reaktivierung! Integrationsspiel Teil 2; Jugendkonferenz 2012";08.08.2012;31.12.2012;6231 ;6231 ;Polen;
2512AHP012;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012: Verbandsarbeit; Internetportal für die deutsche Minderheit in Polen";19.03.2012;31.12.2012;9354 ;9031 ;Polen;
2512AHP013;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Maßnahmen: Integrationstreffen 2012";08.08.2012;31.12.2012;19549 ;19549 ;Polen;
2512AHP014;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Sprachbindungsmaßnahmen; Ausstrahlung der zweisprachigen Sendung ""Schlesien Journal"" im Satellitenfernsehen ""Silesia""";20.03.2012;31.12.2012;5654 ;5654 ;Polen;
2512AHP015;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Organisationsuntersuchung und betriebswirtschaftliche Prüfung des HdpZ (Haus der deutsch-polnischen Zusammenarbeit)";01.09.2012;31.12.2012;17664 ;16948 ;Polen;
2512AHP016;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Exkursionen und Sommertreffen";24.07.2012;31.12.2012;4024 ;4024 ;Polen;
2512AHP017;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Maßnahmen: Stadtrallye und Integrationsfeste";25.09.2012;31.12.2012;445 ;445 ;Polen;
2512AHP018;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Maßnahmen: Exkursionen 2012";02.10.2012;31.12.2012;3393 ;3131 ;Polen;
2512AHP019;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Jugendprojekte: Multiplikatorenschulung des BJDM  und Hallenfußballturnier";06.11.2012;31.12.2012;4188 ;4184 ;Polen;
2512AHP020;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012; Gemeinschaftsfördernde Maßnahmen: Advents- und Weihnachtstreffen";08.11.2012;31.12.2012;79889 ;77794 ;Polen;
2512AHP021;MII6;BVA;IIA5;Direkte Projektförderung;"Wirtschaftliche Hilfen 2012; Förderung kleiner und mittlerer Betriebe aus Handwerk;Gewerbe und Landwirtschaft über die Stiftung für die Entwicklung Schlesiens und Förderung lokaler Initiativen (SES)";06.12.2012;31.12.2012;54000 ;54000 ;Polen;
2512AHR001;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungskonferenz ;01.01.2012;31.12.2012;1840 ;1840 ;Rumänien;
2512AHR002;MII6;BVA;IIA5;Direkte Projektförderung;"Wirtschaftliche Hilfen 2012; Förderung kleiner und mittlerer Betriebe aus Handwerk;Gewerbe und Landwirtschaft ; Gutachterreise";22.04.4780;31.12.2012;10989 ;10487 ;Rumänien;
