Datum;Typ;Partei
10.02.1999;Gewinner;SPD
10.02.1999;Verlierer;SPD
11.02.1999;Gewinner;SPD
18.02.1999;Gewinner;SPD
22.02.1999;Gewinner;SPD
04.03.1999;Verlierer;Linke
05.03.1999;Gewinner;SPD
12.03.1999;Gewinner;SPD
20.03.1999;Gewinner;Union
24.03.1999;Verlierer;Grüne
07.04.1999;Gewinner;SPD
20.04.1999;Verlierer;Grüne
22.04.1999;Verlierer;Grüne
23.04.1999;Verlierer;SPD
27.04.1999;Verlierer;Union
30.04.1999;Verlierer;Linke
03.05.1999;Verlierer;Union
06.05.1999;Verlierer;SPD
08.05.1999;Verlierer;SPD
10.05.1999;Gewinner;Union
22.05.1999;Verlierer;SPD
27.05.1999;Gewinner;Union
29.05.1999;Gewinner;SPD
31.05.1999;Gewinner;SPD
31.05.1999;Verlierer;SPD
08.06.1999;Gewinner;SPD
14.06.1999;Gewinner;SPD
17.06.1999;Gewinner;Union
22.06.1999;Verlierer;SPD
25.06.1999;Gewinner;SPD
25.06.1999;Verlierer;Grüne
05.07.1999;Gewinner;SPD
12.07.1999;Verlierer;Union
14.07.1999;Gewinner;SPD
17.07.1999;Verlierer;Grüne
19.07.1999;Gewinner;SPD
20.07.1999;Gewinner;Grüne
22.07.1999;Gewinner;Union
22.07.1999;Verlierer;Union
24.07.1999;Gewinner;Union
27.07.1999;Gewinner;Union
27.07.1999;Verlierer;SPD
02.08.1999;Verlierer;Union
03.08.1999;Gewinner;SPD
03.08.1999;Verlierer;SPD
10.08.1999;Verlierer;Linke
17.08.1999;Verlierer;Linke
18.08.1999;Verlierer;Grüne
20.08.1999;Verlierer;Union
23.08.1999;Gewinner;Union
25.08.1999;Gewinner;Grüne
25.08.1999;Verlierer;Union
01.09.1999;Gewinner;SPD
07.09.1999;Verlierer;SPD
09.09.1999;Gewinner;SPD
11.09.1999;Verlierer;FDP
14.09.1999;Gewinner;Union
15.09.1999;Verlierer;SPD
17.09.1999;Verlierer;Union
18.09.1999;Verlierer;SPD
21.09.1999;Gewinner;SPD
28.09.1999;Gewinner;Union
01.10.1999;Gewinner;SPD
08.10.1999;Gewinner;SPD
09.10.1999;Gewinner;SPD
09.10.1999;Verlierer;SPD
12.10.1999;Gewinner;SPD
13.10.1999;Verlierer;Union
15.10.1999;Gewinner;SPD
16.10.1999;Gewinner;SPD
18.10.1999;Verlierer;Union
28.10.1999;Gewinner;Union
29.10.1999;Gewinner;SPD
02.11.1999;Gewinner;Union
03.11.1999;Gewinner;SPD
08.11.1999;Verlierer;Union
10.11.1999;Verlierer;Union
11.11.1999;Verlierer;SPD
12.11.1999;Verlierer;SPD
15.11.1999;Gewinner;SPD
15.11.1999;Verlierer;Grüne
16.11.1999;Verlierer;Union
17.11.1999;Gewinner;SPD
17.11.1999;Verlierer;Linke
22.11.1999;Gewinner;SPD
25.11.1999;Verlierer;SPD
14.12.1999;Gewinner;Union
15.12.1999;Verlierer;Union
16.12.1999;Gewinner;Grüne
21.12.1999;Verlierer;SPD
22.12.1999;Verlierer;SPD
24.12.1999;Gewinner;Union
27.12.1999;Gewinner;Union
28.12.1999;Verlierer;Union
29.12.1999;Gewinner;SPD
30.12.1999;Gewinner;Grüne
30.12.1999;Verlierer;Union
20.01.2000;Gewinner;Union
24.01.2000;Gewinner;SPD
26.01.2000;Gewinner;SPD
29.01.2000;Gewinner;SPD
04.02.2000;Verlierer;SPD
07.02.2000;Gewinner;SPD
16.02.2000;Gewinner;Union
19.02.2000;Gewinner;Union
19.02.2000;Verlierer;SPD
21.02.2000;Verlierer;Union
23.02.2000;Gewinner;Union
25.02.2000;Verlierer;SPD
01.03.2000;Gewinner;SPD
03.03.2000;Gewinner;SPD
06.03.2000;Gewinner;Grüne
07.03.2000;Verlierer;Grüne
09.03.2000;Verlierer;Linke
16.03.2000;Gewinner;SPD
16.03.2000;Verlierer;Grüne
17.03.2000;Gewinner;Union
28.03.2000;Gewinner;SPD
07.04.2000;Verlierer;SPD
11.04.2000;Verlierer;SPD
12.04.2000;Verlierer;SPD
13.04.2000;Verlierer;Union
17.04.2000;Gewinner;SPD
28.04.2000;Gewinner;SPD
03.05.2000;Verlierer;FDP
09.05.2000;Gewinner;SPD
12.05.2000;Verlierer;SPD
22.05.2000;Gewinner;SPD
22.05.2000;Verlierer;FDP
24.05.2000;Gewinner;SPD
27.05.2000;Gewinner;Union
30.05.2000;Gewinner;SPD
01.06.2000;Verlierer;Grüne
06.06.2000;Gewinner;FDP
07.06.2000;Gewinner;Union
09.06.2000;Gewinner;Union
10.06.2000;Gewinner;SPD
14.06.2000;Verlierer;Grüne
20.06.2000;Verlierer;Union
22.06.2000;Verlierer;FDP
28.06.2000;Verlierer;Union
30.06.2000;Verlierer;FDP
04.07.2000;Gewinner;SPD
06.07.2000;Gewinner;SPD
11.07.2000;Gewinner;Union
13.07.2000;Verlierer;SPD
15.07.2000;Gewinner;Union
17.07.2000;Gewinner;SPD
22.07.2000;Gewinner;Union
24.07.2000;Verlierer;Grüne
25.07.2000;Gewinner;Grüne
28.07.2000;Gewinner;Union
31.07.2000;Gewinner;SPD
09.08.2000;Gewinner;SPD
10.08.2000;Gewinner;SPD
16.08.2000;Gewinner;Grüne
16.08.2000;Verlierer;Union
30.08.2000;Gewinner;Union
09.09.2000;Gewinner;SPD
11.09.2000;Verlierer;Union
15.09.2000;Gewinner;FDP
18.09.2000;Gewinner;Union
18.09.2000;Verlierer;Union
19.09.2000;Gewinner;SPD
20.09.2000;Gewinner;FDP
21.09.2000;Gewinner;Grüne
22.09.2000;Verlierer;Union
23.09.2000;Gewinner;Union
23.09.2000;Verlierer;SPD
25.09.2000;Verlierer;Grüne
30.09.2000;Verlierer;Union
07.10.2000;Verlierer;Linke
11.10.2000;Gewinner;Union
11.10.2000;Verlierer;Union
17.10.2000;Gewinner;SPD
18.10.2000;Gewinner;Union
18.10.2000;Verlierer;SPD
26.10.2000;Verlierer;Linke
27.10.2000;Gewinner;SPD
01.11.2000;Gewinner;SPD
11.11.2000;Gewinner;SPD
21.11.2000;Verlierer;Grüne
22.11.2000;Verlierer;Grüne
27.11.2000;Gewinner;FDP
13.12.2000;Gewinner;FDP
14.12.2000;Gewinner;Union
18.12.2000;Gewinner;FDP
19.12.2000;Gewinner;Grüne
22.12.2000;Verlierer;Union
03.01.2001;Verlierer;SPD
13.01.2001;Verlierer;Grüne
16.01.2001;Verlierer;SPD
01.02.2001;Verlierer;Union
07.02.2001;Verlierer;SPD
13.02.2001;Gewinner;SPD
15.02.2001;Verlierer;FDP
16.02.2001;Gewinner;Union
17.02.2001;Verlierer;SPD
20.02.2001;Gewinner;Union
26.02.2001;Verlierer;SPD
10.03.2001;Verlierer;Union
22.03.2001;Gewinner;SPD
23.03.2001;Verlierer;SPD
24.03.2001;Gewinner;SPD
27.03.2001;Gewinner;FDP
02.04.2001;Gewinner;Union
03.04.2001;Verlierer;Union
04.04.2001;Verlierer;Grüne
07.04.2001;Gewinner;Union
07.04.2001;Verlierer;Union
24.04.2001;Gewinner;SPD
26.04.2001;Gewinner;FDP
28.04.2001;Gewinner;Grüne
14.05.2001;Gewinner;Union
17.05.2001;Gewinner;Union
17.05.2001;Verlierer;SPD
22.05.2001;Gewinner;Union
08.06.2001;Verlierer;Grüne
09.06.2001;Gewinner;SPD
16.06.2001;Verlierer;Grüne
21.06.2001;Verlierer;SPD
23.06.2001;Verlierer;FDP
07.07.2001;Verlierer;Grüne
17.07.2001;Verlierer;Union
19.07.2001;Gewinner;SPD
24.07.2001;Verlierer;Union
27.07.2001;Gewinner;SPD
31.07.2001;Verlierer;Linke
09.08.2001;Verlierer;Union
10.08.2001;Gewinner;Union
16.08.2001;Verlierer;SPD
18.08.2001;Verlierer;SPD
20.08.2001;Gewinner;FDP
22.08.2001;Gewinner;Union
25.08.2001;Verlierer;SPD
27.08.2001;Gewinner;Union
05.09.2001;Gewinner;SPD
05.09.2001;Verlierer;Union
28.09.2001;Gewinner;Union
10.10.2001;Verlierer;Linke
12.10.2001;Verlierer;SPD
17.10.2001;Verlierer;Union
18.10.2001;Gewinner;Union
19.10.2001;Verlierer;Union
29.10.2001;Verlierer;Union
31.10.2001;Gewinner;SPD
05.11.2001;Verlierer;SPD
20.11.2001;Gewinner;Union
21.11.2001;Gewinner;Union
26.11.2001;Verlierer;Union
28.11.2001;Verlierer;Linke
29.11.2001;Verlierer;SPD
30.11.2001;Gewinner;SPD
08.12.2001;Verlierer;Union
10.12.2001;Gewinner;SPD
10.12.2001;Verlierer;Union
21.12.2001;Verlierer;SPD
22.12.2001;Gewinner;SPD
27.12.2001;Gewinner;FDP
29.12.2001;Gewinner;Union
03.01.2002;Verlierer;Linke
